,contract,direction,order,symbol
510,"Stock(symbol='NMR', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=518, clientId=10, permId=666916165, action='SELL', account='DU2280941')",NMR
511,"Stock(symbol='NNN', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=519, clientId=10, permId=666916166, action='BUY', account='DU2280941')",NNN
512,"Stock(symbol='NOK', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=520, clientId=10, permId=666916167, action='BUY', account='DU2280941')",NOK
513,"Stock(symbol='NOV', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=521, clientId=10, permId=666916168, action='SELL', account='DU2280941')",NOV
514,"Stock(symbol='NOW', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=522, clientId=10, permId=666916169, action='BUY', account='DU2280941')",NOW
515,"Stock(symbol='NRG', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=523, clientId=10, permId=666916170, action='BUY', account='DU2280941')",NRG
516,"Stock(symbol='NRZ', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=524, clientId=10, permId=666916171, action='BUY', account='DU2280941')",NRZ
517,"Stock(symbol='NSC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=525, clientId=10, permId=666916172, action='BUY', account='DU2280941')",NSC
518,"Stock(symbol='NTAP', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=526, clientId=10, action='BUY', account='DU2280941')",NTAP
519,"Stock(symbol='NTCO', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=527, clientId=10, permId=666916174, action='BUY', account='DU2280941')",NTCO
520,"Stock(symbol='NTES', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=528, clientId=10, action='BUY', account='DU2280941')",NTES
521,"Stock(symbol='NTNX', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=529, clientId=10, action='BUY', account='DU2280941')",NTNX
522,"Stock(symbol='NTR', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=530, clientId=10, permId=666916175, action='BUY', account='DU2280941')",NTR
523,"Stock(symbol='NTRS', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=531, clientId=10, action='SELL', account='DU2280941')",NTRS
524,"Stock(symbol='NUAN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=532, clientId=10, action='SELL', account='DU2280941')",NUAN
525,"Stock(symbol='NUE', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=533, clientId=10, permId=666916178, action='BUY', account='DU2280941')",NUE
526,"Stock(symbol='NVCR', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=534, clientId=10, action='SELL', account='DU2280941')",NVCR
527,"Stock(symbol='NVDA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=535, clientId=10, action='BUY', account='DU2280941')",NVDA
528,"Stock(symbol='NVO', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=536, clientId=10, permId=666916183, action='BUY', account='DU2280941')",NVO
529,"Stock(symbol='NVS', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=537, clientId=10, permId=666916184, action='SELL', account='DU2280941')",NVS
530,"Stock(symbol='NWL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=538, clientId=10, action='BUY', account='DU2280941')",NWL
531,"Stock(symbol='NWSA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=539, clientId=10, action='BUY', account='DU2280941')",NWSA
532,"Stock(symbol='NYT', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=540, clientId=10, permId=666916185, action='SELL', account='DU2280941')",NYT
533,"Stock(symbol='O', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=541, clientId=10, permId=666916186, action='SELL', account='DU2280941')",O
534,"Stock(symbol='OC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=542, clientId=10, permId=666916187, action='BUY', account='DU2280941')",OC
535,"Stock(symbol='OGE', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=543, clientId=10, permId=666916188, action='SELL', account='DU2280941')",OGE
536,"Stock(symbol='OHI', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=544, clientId=10, permId=666916190, action='BUY', account='DU2280941')",OHI
537,"Stock(symbol='OKE', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=545, clientId=10, permId=666916191, action='BUY', account='DU2280941')",OKE
538,"Stock(symbol='OKTA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=546, clientId=10, action='BUY', account='DU2280941')",OKTA
539,"Stock(symbol='OLED', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=547, clientId=10, action='BUY', account='DU2280941')",OLED
540,"Stock(symbol='OMC', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=548, clientId=10, permId=666916194, action='SELL', account='DU2280941')",OMC
541,"Stock(symbol='OMF', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=549, clientId=10, permId=666916195, action='BUY', account='DU2280941')",OMF
