,contract,direction,order,symbol
454,"Stock(symbol='LK', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=462, clientId=10, permId=1534984820, action='BUY', account='DU2280941')",LK
455,"Stock(symbol='LKQ', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=463, clientId=10, permId=1534984821, action='SELL', account='DU2280941')",LKQ
456,"Stock(symbol='LLY', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=464, clientId=10, permId=1534984695, action='BUY', account='DU2280941')",LLY
457,"Stock(symbol='LN', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=465, clientId=10, permId=1534984696, action='BUY', account='DU2280941')",LN
458,"Stock(symbol='LNC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=466, clientId=10, permId=1534984699, action='BUY', account='DU2280941')",LNC
459,"Stock(symbol='LNG', exchange='SMART', primaryExchange='AMEX', currency='USD')",BUY,"MarketOrder(orderId=467, clientId=10, permId=1534984700, action='BUY', account='DU2280941')",LNG
460,"Stock(symbol='LNT', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=468, clientId=10, permId=1534984827, action='SELL', account='DU2280941')",LNT
461,"Stock(symbol='LOGI', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=469, clientId=10, permId=1534984829, action='SELL', account='DU2280941')",LOGI
462,"Stock(symbol='LOW', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=470, clientId=10, permId=1534984703, action='BUY', account='DU2280941')",LOW
463,"Stock(symbol='LPLA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=471, clientId=10, permId=1534984836, action='SELL', account='DU2280941')",LPLA
464,"Stock(symbol='LRCX', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=472, clientId=10, permId=1534984840, action='BUY', account='DU2280941')",LRCX
465,"Stock(symbol='LSXMA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=473, clientId=10, permId=1534984839, action='BUY', account='DU2280941')",LSXMA
466,"Stock(symbol='LSXMK', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=474, clientId=10, permId=1534984841, action='BUY', account='DU2280941')",LSXMK
467,"Stock(symbol='LULU', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=475, clientId=10, permId=1534984842, action='BUY', account='DU2280941')",LULU
468,"Stock(symbol='LVS', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=476, clientId=10, permId=1534984704, action='SELL', account='DU2280941')",LVS
469,"Stock(symbol='LW', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=477, clientId=10, permId=1534984705, action='BUY', account='DU2280941')",LW
470,"Stock(symbol='LYB', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=478, clientId=10, permId=1534984706, action='BUY', account='DU2280941')",LYB
471,"Stock(symbol='LYFT', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=479, clientId=10, permId=1534984844, action='BUY', account='DU2280941')",LYFT
472,"Stock(symbol='LYG', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=480, clientId=10, permId=1534984707, action='BUY', account='DU2280941')",LYG
473,"Stock(symbol='LYV', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=481, clientId=10, permId=1534984709, action='BUY', account='DU2280941')",LYV
474,"Stock(symbol='MAA', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=482, clientId=10, permId=1534984710, action='SELL', account='DU2280941')",MAA
475,"Stock(symbol='MAR', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=483, clientId=10, permId=1534984846, action='BUY', account='DU2280941')",MAR
476,"Stock(symbol='MAS', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=484, clientId=10, permId=1534984711, action='BUY', account='DU2280941')",MAS
477,"Stock(symbol='MASI', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=485, clientId=10, permId=1534984849, action='SELL', account='DU2280941')",MASI
478,"Stock(symbol='MBT', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=486, clientId=10, permId=1534984712, action='BUY', account='DU2280941')",MBT
479,"Stock(symbol='MCD', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=487, clientId=10, permId=1534984713, action='BUY', account='DU2280941')",MCD
480,"Stock(symbol='MCHP', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=488, clientId=10, permId=1534984852, action='BUY', account='DU2280941')",MCHP
481,"Stock(symbol='MDB', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=489, clientId=10, permId=1534984854, action='BUY', account='DU2280941')",MDB
482,"Stock(symbol='MDLZ', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=490, clientId=10, permId=1534984859, action='BUY', account='DU2280941')",MDLZ
483,"Stock(symbol='MDT', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=491, clientId=10, permId=1534984716, action='BUY', account='DU2280941')",MDT
484,"Stock(symbol='MDU', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=492, clientId=10, permId=1534984717, action='SELL', account='DU2280941')",MDU
485,"Stock(symbol='MET', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=493, clientId=10, permId=1534984718, action='SELL', account='DU2280941')",MET
486,"Stock(symbol='MFC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=494, clientId=10, permId=1534984719, action='BUY', account='DU2280941')",MFC
487,"Stock(symbol='MFG', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=495, clientId=10, permId=1534984720, action='BUY', account='DU2280941')",MFG
488,"Stock(symbol='MGA', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=496, clientId=10, permId=1534984723, action='BUY', account='DU2280941')",MGA
489,"Stock(symbol='MGM', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=497, clientId=10, permId=1534984724, action='BUY', account='DU2280941')",MGM
490,"Stock(symbol='MGP', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=498, clientId=10, permId=1534984725, action='BUY', account='DU2280941')",MGP
491,"Stock(symbol='MHK', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=499, clientId=10, permId=1534984727, action='BUY', account='DU2280941')",MHK
492,"Stock(symbol='MIDD', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=500, clientId=10, permId=1534984865, action='SELL', account='DU2280941')",MIDD
493,"Stock(symbol='MKC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=501, clientId=10, permId=1534984728, action='BUY', account='DU2280941')",MKC
