,market_cap,stock
447,23626.16000,TSN
448,11824.93000,UDR
449,12720.82000,ULTA
450,59257.41000,USB
451,4454.72600,UAA
452,116014.80000,UNP
453,11678.87000,UAL
454,277875.20000,UNH
455,91244.14000,UPS
456,11404.71000,URI
457,8660.62300,UHS
458,3572.06300,UNM
459,25699.23000,VFC
460,26973.34000,VLO
461,10700.72000,VAR
462,15303.53000,VTR
463,23962.89000,VRSN
464,27003.16000,VRSK
465,235534.70000,VZ
466,70982.19000,VRTX
467,15041.64000,VIAC
468,410645.20000,V
469,7914.10200,VNO
470,16309.29000,VMC
471,10466.10000,WRB
472,11965.35000,WAB
473,338843.20000,WMT
474,36974.83000,WBA
475,213934.20000,DIS
476,44608.05000,WM
477,11726.12000,WAT
478,28647.76000,WEC
479,116931.90000,WFC
480,24063.51000,WELL
481,15491.80000,WST
482,13327.71000,WDC
483,9035.79700,WU
484,7500.24700,WRK
485,17185.13000,WY
486,7852.43800,WHR
487,23487.49000,WMB
488,24669.62000,WLTW
489,9763.15600,WYNN
490,33474.39000,XEL
491,3702.94200,XRX
492,22730.67000,XLNX
493,12036.33000,XYL
494,27648.57000,YUM
495,14146.78000,ZBRA
496,27103.48000,ZBH
497,6057.97600,ZION
498,64705.93000,ZTS
