,high,last,low,symbol,volume
94,62.62,62.58,59.54,CNC,30537.0
95,18.51,18.5,17.34,CNP,45967.0
96,10.25,10.23,9.67,CTL,76528.0
97,67.66,67.66,65.14,CERN,13154.0
98,29.61,29.55,28.05,CF,7919.0
99,37.02,36.98,35.16,SCHW,53604.0
100,524.93,524.93,511.55,CHTR,4911.0
101,91.44,91.38,88.21,CVX,79775.0
102,1018.85,1018.49,971.0,CMG,2058.0
103,128.84,128.84,120.19,CB,13781.0
104,73.88,73.87,72.03,CHD,5062.0
105,189.0,188.84,182.36,CI,11196.0
106,62.45,62.22,58.62,CINF,7943.0
107,266.9,266.67,257.33,CTAS,3040.0
108,45.68,45.67,43.93,CSCO,128006.0
109,52.79,52.73,49.74,C,226561.0
110,26.63,26.58,24.27,CFG,34588.0
111,142.47,142.19,139.13,CTXS,7897.0
112,208.45,206.44,204.91,CLX,11519.0
113,174.8,174.76,171.18,CME,10524.0
114,58.96,58.93,56.74,CMS,9257.0
115,46.21,46.18,44.47,KO,91990.0
116,54.9,54.82,52.5,CTSH,14089.0
117,72.93,72.87,71.74,CL,16357.0
118,39.94,39.9,38.54,CMCSA,74225.0
119,40.29,40.15,36.67,CMA,10517.0
120,33.04,33.02,31.76,CAG,15312.0
121,57.15,57.02,54.28,CXO,34639.0
122,43.59,43.55,40.85,COP,46900.0
123,76.8,75.95,73.85,ED,15331.0
124,173.73,173.73,164.25,STZ,5475.0
125,288.49,287.78,275.73,COO,3038.0
126,86.55,86.43,82.2,CPRT,7023.0
127,27.43,27.4,26.06,GLW,34124.0
128,27.11,26.99,26.52,CTVA,22139.0
129,298.07,297.31,293.84,COST,20404.0
130,4.86,4.76,4.42,COTY,163271.0
131,167.18,166.78,161.2,CCI,9577.0
132,70.3,70.19,67.44,CSX,18501.0
133,168.98,168.98,160.61,CMI,4739.0
134,63.68,63.56,61.82,CVS,55763.0
135,55.5,55.34,52.24,DHI,18050.0
136,172.3,172.05,166.14,DHR,12552.0
137,77.75,77.55,72.21,DRI,12491.0
138,78.9,78.88,76.27,DVA,4470.0
139,155.1,155.0,148.12,DE,5276.0
140,30.9,30.53,28.0,DAL,468240.0
141,44.28,44.26,42.04,XRAY,6840.0
142,13.02,12.98,11.82,DVN,48687.0
143,,399.12,,DXCM,
144,49.07,48.43,43.16,FANG,18797.0
145,138.86,138.68,133.13,DLR,8883.0
146,55.26,55.25,49.61,DFS,40316.0
147,23.15,22.74,21.21,DISCA,34731.0
148,20.6,20.3,18.92,DISCK,21941.0
149,34.36,34.26,31.03,DISH,25223.0
150,189.65,189.65,182.62,DG,14513.0
151,89.31,89.3,85.51,DLTR,13524.0
152,84.21,84.03,80.97,D,26656.0
153,378.29,377.76,368.82,DPZ,4265.0
154,97.62,97.46,93.02,DOV,3514.0
155,,42.23,,DOW,
156,106.02,105.78,102.19,DTE,4906.0
157,86.96,86.85,84.3,DUK,24321.0
158,36.46,36.45,34.31,DRE,15691.0
159,52.28,52.12,49.01,DD,25565.0
160,16.58,16.43,14.94,DXC,27366.0
161,49.06,48.93,45.76,ETFC,11974.0
162,69.81,69.66,66.34,EMN,5238.0
163,87.36,87.23,82.98,ETN,12319.0
164,48.01,47.83,46.64,EBAY,72073.0
165,200.78,200.37,196.69,ECL,8742.0
166,58.8,58.59,55.65,EIX,15263.0
167,69.4,69.28,66.23,EW,19780.0
168,,126.28,,EA,
169,62.6,62.49,59.21,EMR,15021.0
170,97.23,97.03,93.27,ETR,6222.0
171,,52.43,,EOG,
172,,168.64,,EFX,
173,693.19,691.95,661.83,EQIX,2452.0
174,63.77,63.77,61.08,EQR,14266.0
175,246.89,246.89,240.04,ESS,2394.0
176,190.32,190.32,185.59,EL,5011.0
