Stock,primaryExchange
EVRG,NYSE
CFG,NYSE
MRVL,NASDAQ
YUMC,NYSE
GRFS,NASDAQ
INCY,NASDAQ
GLPG,NASDAQ
KSU,NYSE
SSNC,NASDAQ
AGR,NYSE
BAP,NYSE
ROKU,NASDAQ
MLM,NYSE
OKTA,NASDAQ
GWW,NYSE
PKX,NYSE
AMCR,NYSE
TIF,NYSE
BURL,NYSE
KMX,NYSE
MGA,NYSE
AKAM,NASDAQ
CTXS,NASDAQ
LDOS,NYSE
RF,NYSE
MGM,NYSE
YNDX,NASDAQ
BMRN,NASDAQ
XYL,NYSE
CAG,NYSE
CXO,NYSE
DOCU,NASDAQ
WPP,NYSE
SKM,NYSE
PFG,NASDAQ
LYV,NYSE
L,NYSE
GMAB,NASDAQ
DISCA,NASDAQ
SUI,NYSE
SHG,NYSE
HEI,NYSE
CTL,NYSE
DGX,NYSE
KB,NYSE
NLY,NYSE
DRI,NYSE
WAB,NYSE
WPC,NYSE
EXR,NYSE
NVR,NYSE
WORK,NYSE
ATO,NYSE
UDR,NYSE
IFF,NYSE
CPB,NYSE
WRB,NYSE
STX,NASDAQ
ARNC,NYSE
NUE,NYSE
ALNY,NASDAQ
HBAN,NASDAQ
WYNN,NASDAQ
DDOG,NASDAQ
TDY,NYSE
LNT,NASDAQ
LYFT,NASDAQ
WAT,NYSE
HOLX,NASDAQ
STE,NYSE
ENIA,NYSE
AEM,NYSE
TEVA,NYSE
GPC,NYSE
BR,NYSE
KEP,NYSE
NTCO,NYSE
EXAS,NASDAQ
LNG,AMEX
DRE,NYSE
CBOE,BATS
AES,NYSE
LW,NYSE
CRWD,NASDAQ
TTD,NASDAQ
MGP,NYSE
RJF,NYSE
IEP,NASDAQ
SIVB,NASDAQ
MMP,NYSE
GDDY,NYSE
CNA,NYSE
FMC,NYSE
PSXP,NYSE
CNP,NYSE
ELS,NYSE
IT,NYSE
PINS,NYSE
WPM,NYSE
J,NYSE
BRO,NYSE
VAR,NYSE
IEX,NYSE
HAS,NASDAQ
CVNA,NYSE
JKHY,NASDAQ
EQH,NYSE
CE,NYSE
AAL,NASDAQ
CNHI,NYSE
ROL,NYSE
TYL,NYSE
LBTYA,NASDAQ
ALLE,NYSE
CIB,NYSE
VICI,NYSE
XRAY,NASDAQ
VNO,NYSE
MAS,NYSE
WST,NYSE
ZBRA,NASDAQ
BGNE,NASDAQ
EPAM,NYSE
OTEX,NASDAQ
MKTX,NASDAQ
TTWO,NASDAQ
PODD,NASDAQ
QRVO,NASDAQ
EXPD,NASDAQ
PHM,NYSE
NTAP,NASDAQ
AGNCN,NASDAQ
ALLY,NYSE
SUZ,NYSE
AGNCM,NASDAQ
NLOK,NASDAQ
WTRU,NYSE
FNF,NYSE
TS,NYSE
UHS,NYSE
ELAN,NYSE
SJM,NYSE
MPW,NYSE
FICO,NYSE
JBHT,NASDAQ
TER,NASDAQ
LNC,NYSE
HST,NYSE
TAP,NYSE
BEN,NYSE
GL,NYSE
FANG,NASDAQ
URI,NYSE
RE,NYSE
Y,NYSE
PAA,NYSE
LN,NYSE
DPZ,NYSE
STNE,NASDAQ
TSCO,NASDAQ
AVY,NYSE
CHWY,NYSE
CG,NASDAQ
VST,NYSE
CPT,NYSE
IHG,NYSE
NCLH,NYSE
BIO,NYSE
EBR,NYSE
PAGS,NYSE
NI,NYSE
PNW,NYSE
FDS,NYSE
ASX,NYSE
TRMB,NASDAQ
MYL,NASDAQ
NICE,NASDAQ
WU,NYSE
CVE,NYSE
BKI,NYSE
TXT,NYSE
HTHT,NASDAQ
DVA,NYSE
CCK,NYSE
ACGLO,NASDAQ
REG,NASDAQ
MLCO,NASDAQ
ZG,NASDAQ
BAH,NYSE
MBT,NYSE
PKI,NYSE
AGNC,NASDAQ
COUP,NASDAQ
WRK,NYSE
VER,NYSE
TW,NASDAQ
ARMK,NYSE
GLPI,NASDAQ
APA,NASDAQ
HSIC,NASDAQ
ACGLP,NASDAQ
CDAY,NYSE
LKQ,NASDAQ
SEIC,NASDAQ
CABO,NYSE
NDSN,NASDAQ
HII,NYSE
BCH,NYSE
EMN,NYSE
NRG,NYSE
CEA,NYSE
AFG,NYSE
SSL,NYSE
LSXMK,NASDAQ
BFAM,NYSE
FBHS,NYSE
DT,NYSE
SJR,NYSE
AVTR,NYSE
WEX,NYSE
PTC,NASDAQ
ZEN,NYSE
SBS,NYSE
GWRE,NYSE
MTN,NYSE
CLR,NYSE
ETFC,NASDAQ
WB,NASDAQ
DOX,NASDAQ
MASI,NASDAQ
CZR,NASDAQ
NBIX,NASDAQ
BHC,NYSE
RPM,NYSE
CHRW,NASDAQ
BEP,NYSE
HNP,NYSE
NNN,NYSE
IPG,NYSE
TSU,NYSE
MDB,NASDAQ
ZNH,NYSE
RGA,NYSE
LAMR,NASDAQ
VIPS,NYSE
IRM,NYSE
FRT,NYSE
LK,NASDAQ
OHI,NYSE
WHR,NYSE
BSAC,NYSE
FWONK,NASDAQ
ARES,NYSE
ALB,NYSE
MHK,NYSE
ATHM,NYSE
PKG,NYSE
UI,NYSE
ICLR,NASDAQ
GGG,NYSE
AYX,NYSE
NBL,NASDAQ
SRPT,NASDAQ
AAP,NYSE
LII,NYSE
KRC,NYSE
STOR,NYSE
OGE,NYSE
CTLT,NYSE
SC,NYSE
NVCR,NASDAQ
GDS,NASDAQ
CGNX,NASDAQ
POOL,NASDAQ
MOH,NYSE
JHX,NYSE
RL,NYSE
CSL,NYSE
H,NYSE
NOV,NYSE
BILI,NASDAQ
DVN,NYSE
CMA,NYSE
TTC,NYSE
SCI,NYSE
MRO,NYSE
ON,NASDAQ
RNR,NYSE
PCG,NYSE
USFD,NYSE
JLL,NYSE
WUBA,NYSE
AIZ,NYSE
AMH,NYSE
COTY,NYSE
XPO,NYSE
GSX,NYSE
UGI,NYSE
AQN,NYSE
CRL,NYSE
AEG,NYSE
AZPN,NASDAQ
AIZP,NYSE
WLK,NYSE
CF,NYSE
OLED,NASDAQ
NWSA,NASDAQ
HUBS,NYSE
LBTYK,NASDAQ
SNA,NYSE
NWL,NASDAQ
TRGP,NYSE
QGEN,NYSE
IONS,NASDAQ
TTM,NYSE
VOYA,NYSE
JNPR,NYSE
TXG,NASDAQ
PLAN,NYSE
MPWR,NASDAQ
G,NYSE
XRX,NYSE
AER,NYSE
GLIBA,NASDAQ
KIM,NYSE
ALK,NYSE
BPY,NASDAQ
IVZ,NYSE
HUBB,NYSE
EHC,NYSE
AIV,NYSE
ARCC,NASDAQ
AU,NYSE
CAE,NYSE
TDOC,NYSE
PTON,NASDAQ
LEVI,NYSE
TPR,NYSE
ATH,NYSE
JAZZ,NASDAQ
GGB,NYSE
EEFT,NASDAQ
IPGP,NASDAQ
TECH,NASDAQ
CBSH,NASDAQ
ZS,NASDAQ
ZION,NASDAQ
BG,NYSE
PRGO,NYSE
FLIR,NASDAQ
CACC,NASDAQ
CHE,NYSE
ENTG,NASDAQ
PCTY,NASDAQ
SLG,NYSE
FFIV,NASDAQ
SBNY,NASDAQ
DEI,NYSE
BRKR,NASDAQ
ST,NYSE
PEGA,NASDAQ
DXC,NYSE
FTI,NYSE
RS,NYSE
KL,NYSE
GNTX,NASDAQ
RDY,NYSE
DBX,NASDAQ
CGC,NYSE
NLSN,NYSE
TECK,NYSE
GH,NASDAQ
CONE,NASDAQ
W,NYSE
PLNT,NYSE
LPLA,NASDAQ
LOGI,NASDAQ
SQM,NYSE
RETA,NASDAQ
ACM,NYSE
LEA,NYSE
WIX,NASDAQ
POST,NYSE
PNR,NYSE
ERIE,NASDAQ
WWD,NASDAQ
ABMD,NASDAQ
ATR,NYSE
SNX,NYSE
Z,NASDAQ
VEDL,NYSE
MOS,NYSE
FAF,NYSE
NRZ,NYSE
COLD,NYSE
STWD,NYSE
CCC,NYSE
HRC,NYSE
PAC,NYSE
DLB,NYSE
PBCT,NASDAQ
BWA,NYSE
GNRC,NYSE
ACAD,NASDAQ
PRAH,NASDAQ
UAA,NYSE
WES,NYSE
AOS,NYSE
SPR,NYSE
PFPT,NASDAQ
ORI,NYSE
EWBC,NASDAQ
HFC,NYSE
AVLR,NYSE
RHI,NYSE
OC,NYSE
KSS,NYSE
BNTX,NASDAQ
AXTA,NYSE
PB,NYSE
CACI,NYSE
FLEX,NASDAQ
ACH,NYSE
HDS,NASDAQ
BYND,NASDAQ
ALV,NYSE
NTNX,NASDAQ
SYNH,NASDAQ
ARGX,NASDAQ
GPS,NYSE
RGLD,NASDAQ
MRNA,NASDAQ
UHAL,NASDAQ
HTA,NYSE
KNX,NYSE
LITE,NASDAQ
ENIC,NYSE
MORN,NASDAQ
IAA,NYSE
HZNP,NASDAQ
TCF,NASDAQ
LB,NYSE
ESLT,NASDAQ
DCI,NYSE
SMG,NYSE
CIEN,NYSE
ASND,NASDAQ
MOMO,NASDAQ
JEF,NYSE
PPC,NASDAQ
WSO,NYSE
PEN,NYSE
UMC,NYSE
MKSI,NASDAQ
ACC,NYSE
NUAN,NASDAQ
ZNGA,NASDAQ
BWXT,NYSE
NYT,NYSE
PVH,NYSE
INGR,NYSE
AMED,NASDAQ
MIDD,NASDAQ
TV,NYSE
ARW,NYSE
CHDN,NASDAQ
KGC,NYSE
CASY,NASDAQ
FIVE,NASDAQ
OMF,NYSE
CUBE,NYSE
CDK,NASDAQ
AMRN,NASDAQ
HXL,NYSE
MDU,NYSE
CW,NYSE
PE,NYSE
WF,NYSE
TOL,NYSE
DNKN,NASDAQ
